Title,Revenue
Scott Pilgrim vs. the World,31.49
Hot Fuzz,23.62
Mine,
Free Fire,1.8
X-Men: Days of Future Past,233.91
Jack Reacher: Never Go Back,58.4
Casino Royale,167.01
Twilight,191.45
Now You See Me 2,65.03
Woman in Gold,33.31
13 Hours,52.82
Spectre,200.07
Nightcrawler,32.28
Kubo and the Two Strings,48.02
Beyond the Gates,
Her,25.56
Frozen,400.74
Tomorrowland,93.42
Dawn of the Planet of the Apes,208.54
Tropic Thunder,110.42
The Conjuring 2,102.46
Ant-Man,180.19
Bridget Jones's Baby,24.09
The VVitch: A New-England Folktale,25.14
Cinderella,201.15
Realive,
Forushande,3.4
Love,
Billy Lynn's Long Halftime Walk,1.72
Crimson Peak,31.06
Drive,35.05
Trainwreck,110.01
The Light Between Oceans,12.53
Below Her Mouth,
Spotlight,44.99
Morgan,3.91
Warrior,13.65
Captain America: The First Avenger,176.64
Hacker,
Into the Wild,18.35
The Imitation Game,91.12
Central Intelligence,127.38
Edge of Tomorrow,100.19
A Cure for Wellness,8.1
Snowden,21.48
Iron Man,318.3
Allegiant,66
X: First Class,146.41
Raw (II),0.51
Paterson,2.14
Bridesmaids,169.08
The Girl with All the Gifts,
San Andreas,155.18
Spring Breakers,14.12
Transformers,318.76
Old Boy,
Thor: The Dark World,206.36
Gods of Egypt,31.14
Captain America: The Winter Soldier,259.75
Monster Trucks,33.04
A Dark Song,
Kick-Ass,48.04
Hardcore Henry,9.24
Cars,244.05
It Follows,14.67
The Girl with the Dragon Tattoo,102.52
We're the Millers,150.37
American Honey,0.66
The Lobster,8.7
Predators,52
Maleficent,241.41
Rupture,
Pan's Labyrinth,37.62
A Kind of Murder,0
Apocalypto,50.86
Mission: Impossible - Rogue Nation,195
The Huntsman: Winter's War,47.95
The Perks of Being a Wallflower,17.74
Jackie,13.96
The Disappointments Room,2.41
The Grand Budapest Hotel,59.07
The Host,26.62
Fury,85.71
Inside Out,356.45
Rock Dog,9.4
Terminator Genisys,89.73
Percy Jackson & the Olympians: The Lightning Thief,88.76
Les Misérables,148.78
Children of Men,35.29
20th Century Women,5.66
Spy,110.82
The Intouchables,13.18
Bonjour Anne,0.32
Kynodontas,0.11
Straight Outta Compton,161.03
The Amazing Spider-Man 2,202.85
The Conjuring,137.39
The Hangover,277.31
Battleship,65.17
Rise of the Planet of the Apes,176.74
Lights Out,67.24
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2.27
Birdman or (The Unexpected Virtue of Ignorance),42.34
Black Swan,106.95
Dear White People,4.4
Nymphomaniac: Vol. I,0.79
Teenage Mutant Ninja Turtles: Out of the Shadows,0.54
Knock Knock,0.03
Dirty Grandpa,35.54
Cloud Atlas,27.1
X-Men Origins: Wolverine,179.88
Satanic,
Skyfall,304.36
The Hobbit: An Unexpected Journey,303
21 Jump Street,138.45
Sing Street,3.23
Ballerina,
Oblivion,89.02
22 Jump Street,191.62
Zodiac,33.05
Everybody Wants Some!!,3.37
Iron Man Three,408.99
Now You See Me,117.7
Sherlock Holmes,209.02
Death Proof,
The Danish Girl,12.71
Hercules,72.66
Sucker Punch,36.38
Keeping Up with the Joneses,14.9
Jupiter Ascending,47.38
Masterminds,17.36
Iris,
Busanhaeng,2.13
Pitch Perfect,65
Neighbors 2: Sorority Rising,55.29
The Exception,
Man of Steel,291.02
The Choice,18.71
Ice Age: Collision Course,64.06
The Devil Wears Prada,124.73
The Infiltrator,15.43
There Will Be Blood,40.22
The Equalizer,101.53
Lone Survivor,125.07
The Cabin in the Woods,42.04
The House Bunny,48.24
She's Out of My League,31.58
Inherent Vice,8.09
Alice Through the Looking Glass,77.04
Vincent N Roxxy,
The Fast and the Furious: Tokyo Drift,62.49
How to Be Single,46.81
The Blind Side,255.95
La vie d'Adèle,2.2
The Babadook,0.92
The Hobbit: The Battle of the Five Armies,255.11
Harry Potter and the Order of the Phoenix,292
Snowpiercer,4.56
The 5th Wave,34.91
The Stakelander,
The Visit,65.07
Fast Five,209.81
Step Up,65.27
Lovesong,0.01
RocknRolla,5.69
In Time,37.55
The Social Network,96.92
The Last Witch Hunter,27.36
Victor Frankenstein,5.77
A Street Cat Named Bob,0.04
Green Room,3.22
Blackhat,7.1
Storks,72.66
American Sniper,350.12
Dallas Buyers Club,27.3
Lincoln,182.2
Rush,26.9
Before I Wake,
Silver Linings Playbook,132.09
Tracktown,
The Fault in Our Stars,124.87
Blended,46.28
Fast & Furious,155.02
Looper,66.47
White House Down,73.1
Pete's Dragon,76.2
Spider-Man 3,336.53
The Three Musketeers,20.32
Stardust,38.35
American Hustle,150.12
Jennifer's Body,16.2
Midnight in Paris,56.82
Lady Macbeth,
Joy,56.44
The Dressmaker,2.02
Café Society,11.08
Insurgent,130
Seventh Son,17.18
Demain tout commence,
The Theory of Everything,35.89
This Is the End,101.47
About Time,15.29
Step Brothers,100.47
Clown,0.05
Star Trek Into Darkness,228.76
Zombieland,75.59
"Hail, Caesar!",30
Slumdog Millionaire,141.32
The Twilight Saga: Breaking Dawn - Part 2,292.3
American Wrestler: The Wizard,
The Amazing Spider-Man,262.03
Ben-Hur,26.38
Sleight,3.85
The Maze Runner,102.41
Criminal,14.27
Wanted,134.57
Florence Foster Jenkins,27.37
Collide,2.2
Black Mass,62.56
Creed,109.71
Swiss Army Man,4.21
The Expendables 3,39.29
What We Do in the Shadows,3.33
Southpaw,52.42
Hush,
Bridge of Spies,72.31
The Lego Movie,257.76
Everest,43.25
Pixels,78.75
Robin Hood,105.22
The Wolverine,132.55
John Carter,73.06
Keanu,20.57
The Gunman,10.64
Steve Jobs,17.75
Whisky Galore,
Grown Ups 2,133.67
The Age of Adaline,42.48
The Incredible Hulk,134.52
Couples Retreat,109.18
Absolutely Anything,
Magic Mike,113.71
Minions,336.03
The Black Room,
Bronson,0.1
Despicable Me,251.5
The Best of Me,26.76
The Invitation,0.23
Zero Dark Thirty,95.72
Tangled,200.81
The Hunger Games: Mockingjay - Part 2,281.67
Vacation,58.88
Taken,145
Pitch Perfect 2,183.44
Monsters University,268.49
Elle,
Mechanic: Resurrection,21.2
Tusk,1.82
The Headhunter's Calling,
Atonement,50.92
Harry Potter and the Deathly Hallows: Part 1,294.98
Shame,4
Hanna,40.25
The Babysitters,0.04
Pride and Prejudice and Zombies,10.91
300: Rise of an Empire,106.37
London Has Fallen,62.4
The Curious Case of Benjamin Button,127.49
Sin City: A Dame to Kill For,13.75
The Bourne Ultimatum,227.14
Srpski film,
The Purge: Election Year,79
3 Idiots,6.52
Zoolander 2,28.84
World War Z,202.35
Mission: Impossible - Ghost Protocol,209.36
Let Me Make You a Martyr,
Filth,0.03
The Longest Ride,37.43
The imposible,19
Kick-Ass 2,28.75
Folk Hero & Funny Guy,
Oz the Great and Powerful,234.9
Brooklyn,38.32
Coraline,75.28
Blue Valentine,9.7
The Thinning,
Silent Hill,46.98
Dredd,13.4
Hunt for the Wilderpeople,5.2
Big Hero 6,222.49
Carrie,35.27
Iron Man 2,312.06
Demolition,1.82
Pandorum,10.33
Olympus Has Fallen,98.9
I Am Number Four,55.09
Jagten,0.61
The Proposal,163.95
Get Hard,90.35
Just Go with It,103.03
Revolutionary Road,22.88
The Town,92.17
The Boy,35.79
Denial,4.07
Predestination,
Goosebumps,80.02
Sherlock Holmes: A Game of Shadows,186.83
Salt,118.31
Enemy,1.01
District 9,115.65
The Other Guys,119.22
American Gangster,130.13
Marie Antoinette,15.96
2012,166.11
Harry Potter and the Half-Blood Prince,301.96
Argo,136.02
Eddie the Eagle,15.79
The Lives of Others,11.28
Pet,
Paint It Black,
Macbeth,
Forgetting Sarah Marshall,62.88
The Giver,45.09
Triple 9,12.63
Perfetti sconosciuti,
Angry Birds,107.51
Moonrise Kingdom,45.51
Hairspray,118.82
Safe Haven,71.35
Focus,53.85
Ratatouille,206.44
Stake Land,0.02
The Book of Eli,94.82
Cloverfield,80.03
Point Break,28.77
Under the Skin,2.61
I Am Legend,256.39
Men in Black 3,179.02
Super 8,126.98
Law Abiding Citizen,73.34
Up,292.98
Maze Runner: The Scorch Trials,81.69
Carol,0.25
Imperium,
Youth,2.7
Mr. Nobody,
City of Tiny Lights,
Savages,47.31
(500) Days of Summer,32.39
Movie 43,8.83
Gravity,274.08
The Boy in the Striped Pyjamas,9.03
Shooter,46.98
The Happening,64.51
Bone Tomahawk,66.01
Magic Mike XXL,
Easy A,58.4
Exodus: Gods and Kings,65.01
Chappie,31.57
The Hobbit: The Desolation of Smaug,258.36
Half of a Yellow Sun,0.05
Anthropoid,2.96
The Counselor,16.97
Viking,23.05
Whiskey Tango Foxtrot,
Trust,0.06
Birth of the Dragon,93.05
Elysium,
The Green Inferno,7.19
Godzilla,200.66
The Bourne Legacy,113.17
A Good Year,7.46
Friend Request,64.03
Deja Vu,
Lucy,126.55
A Quiet Passion,1.08
Need for Speed,43.57
Jack Reacher,58.68
The Do-Over,0.54
True Crimes,
American Pastoral,
The Ghost Writer,15.52
Limitless,79.24
Spectral,
P.S. I Love You,53.68
Zipper,
Midnight Special,3.71
Don't Think Twice,4.42
Alice in Wonderland,334.19
Chuck,0.11
"I, Daniel Blake",
The Break-Up,118.68
Loving,7.7
Fantastic Four,56.11
The Survivalist,
Colonia,
The Boy Next Door,35.39
The Gift,43.77
Dracula Untold,55.94
In the Heart of the Sea,24.99
Idiocracy,0.44
The Expendables,102.98
Evil Dead,54.24
Sinister,48.06
Wreck-It Ralph,189.41
Snow White and the Huntsman,155.11
Pan,34.96
Transformers: Dark of the Moon,352.36
Juno,143.49
A Hologram for the King,4.2
Money Monster,41.01
The Other Woman,83.91
Enchanted,127.71
The Intern,75.27
Little Miss Sunshine,59.89
Bleed for This,4.85
Clash of the Titans,163.19
The Finest Hours,27.55
Tron,172.05
The Hunger Games: Catching Fire,424.65
All Good Things,0.58
Kickboxer: Vengeance,131.56
The Last Airbender,
Sex Tape,38.54
What to Expect When You're Expecting,41.1
Moneyball,75.61
Ghost Rider,115.8
Unbroken,115.6
Immortals,83.5
Sunshine,3.68
Brave,237.28
Män som hatar kvinnor,10.1
Adoration,0.32
The Drop,10.72
She's the Man,2.34
Daddy's Home,150.32
Let Me In,12.13
Never Back Down,24.85
Grimsby,6.86
Moon,5.01
Megamind,148.34
Gangster Squad,46
Blood Father,93.95
He's Just Not That Into You,
Kung Fu Panda 3,143.52
The Rise of the Krays,6.53
Handsome Devil,
Winter's Bone,
Horrible Bosses,117.53
Mommy,3.49
Hellboy II: The Golden Army,75.75
Beautiful Creatures,19.45
Toni Erdmann,1.48
The Lovely Bones,43.98
The Assassination of Jesse James by the Coward Robert Ford,3.9
Don Jon,24.48
Bastille Day,0.04
2307: Winter's Dream,20.76
Free State of Jones,
Mr. Right,0.03
The Secret Life of Walter Mitty,58.23
Dope,17.47
Underworld Awakening,62.32
Antichrist,0.4
Friday the 13th,65
Taken 3,89.25
Total Recall,58.88
X-Men: The Last Stand,234.36
The Escort,
The Whole Truth,
Night at the Museum: Secret of the Tomb,113.73
Love & Other Drugs,32.36
The Interview,6.11
The Host,2.2
Megan Is Missing,
WALL·E,223.81
Knocked Up,148.73
Source Code,54.7
Lawless,37.4
Unfriended,31.54
American Reunion,56.72
The Pursuit of Happyness,162.59
Relatos salvajes,3.08
The Ridiculous 6,
Frantz,0.86
Viral,
Gran Torino,148.09
Burnt,13.65
Tall Men,
Sleeping Beauty,0.03
Vampire Academy,7.79
Sweeney Todd: The Demon Barber of Fleet Street,52.88
Solace,
Insidious,53.99
Popstar: Never Stop Never Stopping,9.39
The Levelling,
Public Enemies,97.03
Boyhood,25.36
Teenage Mutant Ninja Turtles,190.87
Eastern Promises,17.11
The Daughter,0.03
Pineapple Express,87.34
The First Time,0.02
Gone Baby Gone,20.3
The Heat,159.58
L'avenir,0.28
Anna Karenina,12.8
Regression,0.05
Ted 2,81.26
Pain & Gain,49.87
Blood Diamond,57.37
Devil's Knot,
Child 44,1.21
The Hurt Locker,15.7
Green Lantern,116.59
War on Everyone,
The Mist,25.59
Escape Plan,25.12
"Love, Rosie",0.01
The DUFF,34.02
The Age of Shadows,0.54
The Hunger Games: Mockingjay - Part 1,337.1
We Need to Talk About Kevin,1.74
Love & Friendship,14.01
The Mortal Instruments: City of Bones,31.17
Seven Pounds,69.95
The King's Speech,138.8
Hunger,0.15
Jumper,80.17
Toy Story 3,414.98
Tinker Tailor Soldier Spy,24.1
Resident Evil: Retribution,42.35
Dear Zindagi,1.4
Genius,1.36
Pompeii,23.22
Life of Pi,124.98
Hachi: A Dog's Tale,
10 Years,0.2
I Origins,0.33
Live Free or Die Hard,134.52
The Matchbreaker,
Funny Games,1.29
Ted,218.63
RED,90.36
Australia,49.55
Faster,23.23
The Neighbor,
The Adjustment Bureau,62.45
The Hollars,1.02
The Judge,47.11
Closed Circuit,5.73
Transformers: Revenge of the Fallen,402.08
La tortue rouge,0.92
The Book of Life,50.15
Incendies,6.86
The Heartbreak Kid,36.77
Happy Feet,197.99
Entourage,32.36
The Strangers,52.53
Noah,101.16
Neighbors,150.06
Nymphomaniac: Vol. II,0.33
Wild,37.88
Grown Ups,162
Blair Witch,20.75
The Karate Kid,176.59
Dark Shadows,79.71
Friends with Benefits,55.8
The Illusionist,39.83
The A-Team,77.21
The Guest,0.32
The Internship,44.67
Paul,37.37
This Beautiful Fantastic,
The Da Vinci Code,217.54
Mr. Church,0.69
Hugo,73.82
The Blackcoat's Daughter,0.02
Body of Lies,39.38
Knight of Cups,0.56
The Mummy: Tomb of the Dragon Emperor,102.18
The Boss,63.03
Hands of Stone,4.71
El secreto de sus ojos,20.17
True Grit,171.03
We Are Your Friends,3.59
A Million Ways to Die in the West,42.62
Only for One Night,
Rules Don't Apply,3.65
Ouija: Origin of Evil,34.9
Percy Jackson: Sea of Monsters,68.56
Fracture,39
Oculus,27.69
In Bruges,7.76
This Means War,54.76
Lída Baarová,
The Road,0.06
Lavender,
Deuces,
Conan the Barbarian,21.27
The Fighter,93.57
August Rush,31.66
Chef,31.24
Eye in the Sky,18.7
Eagle Eye,101.11
The Purge,64.42
PK,10.57
Ender's Game,61.66
Indiana Jones and the Kingdom of the Crystal Skull,317.01
Paper Towns,31.99
High-Rise,0.34
Quantum of Solace,168.37
The Assignment,
How to Train Your Dragon,217.39
Lady in the Water,42.27
The Fountain,10.14
Cars 2,191.45
31,0.78
Final Girl,
Chalk It Up,
The Man Who Knew Infinity,3.86
Unknown,61.09
Self/less,12.28
Mr. Brooks,28.48
Tramps,
Before We Go,0.04
Captain Phillips,107.1
The Secret Scripture,
Max Steel,3.77
Hotel Transylvania 2,169.69
Hancock,227.95
Sisters,87.03
The Family,36.92
Zack and Miri Make a Porno,31.45
Ma vie de Courgette,0.29
Man on a Ledge,18.6
No Strings Attached,70.63
Rescue Dawn,5.48
Despicable Me 2,368.05
A Walk Among the Tombstones,25.98
The World's End,26
Yoga Hosers,
Seven Psychopaths,14.99
Beowulf,82.16
Jack Ryan: Shadow Recruit,50.55
1408,71.98
The Gambler,33.63
Prince of Persia: The Sands of Time,90.76
The Spectacular Now,6.85
A United Kingdom,3.9
USS Indianapolis: Men of Courage,
Turbo Kid,0.05
Mama,71.59
Orphan,41.57
To Rome with Love,16.68
Fantastic Mr. Fox,21
Inside Man,88.5
I.T.,
127 Hours,18.33
Annabelle,84.26
Wolves at the Door,
Suite Française,
The Imaginarium of Doctor Parnassus,7.69
G.I. Joe: The Rise of Cobra,150.17
Christine,0.3
Man Down,
Crawlspace,
Shut In,6.88
The Warriors Gate,
Grindhouse,25.03
Disaster Movie,14.17
Rocky Balboa,70.27
Diary of a Wimpy Kid: Dog Days,49
Jane Eyre,11.23
Fool's Gold,70.22
The Dictator,59.62
The Loft,5.98
Bacalaureat,0.13
You Don't Mess with the Zohan,100.02
Exposed,
Maudie,
Horrible Bosses 2,54.41
A Bigger Splash,1.98
Melancholia,3.03
The Princess and the Frog,104.37
Unstoppable,81.56
Flight,93.75
Home,177.34
La migliore offerta,0.09
Mean Dreams,
42,95
21,81.16
Begin Again,16.17
Out of the Furnace,11.33
Vicky Cristina Barcelona,23.21
Kung Fu Panda,215.4
Barbershop: The Next Cut,54.01
Terminator Salvation,125.32
Freedom Writers,36.58
The Hills Have Eyes,41.78
Changeling,35.71
Remember Me,19.06
Koe no katachi,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66.95
Locke,1.36
The 9th Life of Louis Drax,
Horns,0.16
Indignation,3.4
The Stanford Prison Experiment,0.64
Diary of a Wimpy Kid: Rodrick Rules,52.69
Mission: Impossible III,133.38
En man som heter Ove,3.36
Dragonball Evolution,9.35
Red Dawn,44.8
One Day,13.77
Life as We Know It,53.36
28 Weeks Later,28.64
Warm Bodies,66.36
Blue Jasmine,33.4
G.I. Joe: Retaliation,122.51
Wrath of the Titans,83.64
Shin Gojira,1.91
Saving Mr. Banks,83.3
Transcendence,23.01
Rio,143.62
Equals,0.03
Babel,34.3
The Tree of Life,13.3
The Lucky One,60.44
Piranha 3D,25
50/50,34.96
The Intent,
This Is 40,67.52
Real Steel,85.46
Sex and the City,152.64
Rambo,42.72
Planet Terror,
Concussion,34.53
The Fall,2.28
The Ugly Truth,88.92
Bride Wars,58.72
Sleeping with Other People,0.81
Snakes on a Plane,34.01
What If,3.45
How to Train Your Dragon 2,177
RoboCop,58.61
In Dubious Battle,
"Hello, My Name Is Doris",14.44
Ocean's Thirteen,117.14
Slither,7.77
Contagion,75.64
Il racconto dei racconti - Tale of Tales,0.08
I Am the Pretty Thing That Lives in the House,
Bridge to Terabithia,82.23
Coherence,0.07
Notorious,36.84
Goksung,0.79
The Expendables 2,85.02
The Girl Next Door,
Perfume: The Story of a Murderer,2.21
The Golden Compass,70.08
Centurion,0.12
Scouts Guide to the Zombie Apocalypse,3.64
17 Again,64.15
No Escape,27.29
Superman Returns,200.07
The Twilight Saga: Breaking Dawn - Part 1,281.28
Precious,47.54
The Sea of Trees,0.02
Good Kids,
The Master,16.38
Footloose,51.78
If I Stay,50.46
The Ticket,
Detour,
The Love Witch,0.22
Talladega Nights: The Ballad of Ricky Bobby,148.21
The Human Centipede (First Sequence),0.18
Super,0.32
The Siege of Jadotville,
Up in the Air,83.81
The Midnight Meat Train,0.07
The Twilight Saga: Eclipse,300.52
Transpecos,
What's Your Number?,13.99
Riddick,42
Triangle,
The Butler,116.63
King Cobra,0.03
After Earth,60.52
Kicks,0.15
Me and Earl and the Dying Girl,6.74
The Descendants,82.62
Sex and the City 2,95.33
The Kings of Summer,1.29
Death Race,36.06
That Awkward Moment,26.05
Legion,40.17
End of Watch,40.98
3 Days to Kill,30.69
Lucky Number Slevin,22.49
Trance,2.32
Into the Forest,0.01
The Other Boleyn Girl,26.81
I Spit on Your Grave,0.09
Custody,
Inland Empire,
L'odyssée,
The Walk,10.14
Wrecker,
The Lone Ranger,89.29
Texas Chainsaw 3D,34.33
Disturbia,80.05
Rock of Ages,38.51
Scream 4,38.18
Queen of Katwe,8.81
My Big Fat Greek Wedding 2,59.57
Dark Places,
Amateur Night,
It's Only the End of the World,
The Skin I Live In,3.19
Miracles from Heaven,61.69
Annie,85.91
Across the Universe,24.34
Let's Be Cops,82.39
Max,42.65
Your Highness,21.56
Final Destination 5,42.58
Endless Love,23.39
Martyrs,
Selma,52.07
Underworld: Rise of the Lycans,45.8
Taare Zameen Par,1.2
Take Me Home Tonight,6.92
Resident Evil: Afterlife,60.13
Project X,54.72
Secret in Their Eyes,
Hostel: Part II,17.54
Step Up 2: The Streets,58.01
Search Party,
Nine Lives,19.64
